Location ID,Location,Value
KS-181,Sherman County,52.4
KS-183,Smith County,53.9
KS-185,Stafford County,55.9
KS-187,Stanton County,56.1
KS-189,Stevens County,56.6
KS-191,Sumner County,58.3
KS-193,Thomas County,52.8
KS-195,Trego County,55
KS-197,Wabaunsee County,55.2
KS-199,Wallace County,53.5
KS-201,Washington County,54.2
KS-203,Wichita County,54.1
KS-205,Wilson County,57.4
KS-207,Woodson County,56.7
KS-209,Wyandotte County,55.5
KY-001,Adair County,55.8
KY-003,Allen County,57.5
KY-005,Anderson County,54.8
KY-007,Ballard County,57.5
KY-009,Barren County,57
KY-011,Bath County,54.7
KY-013,Bell County,54.8
KY-015,Boone County,53.8
KY-017,Bourbon County,54.2
KY-019,Boyd County,54.5
KY-021,Boyle County,55
KY-023,Bracken County,53.8
KY-025,Breathitt County,55.5
KY-027,Breckinridge County,55.6
KY-029,Bullitt County,55.6
KY-031,Butler County,56.9
KY-033,Caldwell County,57.3
KY-035,Calloway County,58.1
KY-037,Campbell County,54
KY-039,Carlisle County,57.8
KY-041,Carroll County,54.6
KY-043,Carter County,54.1
KY-045,Casey County,55
KY-047,Christian County,57.4
KY-049,Clark County,54.7
KY-051,Clay County,55.3
KY-053,Clinton County,56
KY-055,Crittenden County,56.9
KY-057,Cumberland County,56.8
KY-059,Daviess County,56.4
KY-061,Edmonson County,56.9
KY-063,Elliott County,54.4
KY-065,Estill County,55.4
KY-067,Fayette County,54.4
KY-069,Fleming County,54.2
KY-071,Floyd County,55.6
KY-073,Franklin County,54.6
KY-075,Fulton County,58.3
KY-077,Gallatin County,54.5
KY-079,Garrard County,55.1
KY-081,Grant County,54.2
KY-083,Graves County,57.8
KY-085,Grayson County,56.1
KY-087,Green County,56.1
KY-089,Greenup County,54.1
KY-091,Hancock County,56
KY-093,Hardin County,55.4
KY-095,Harlan County,53.6
KY-097,Harrison County,54.2
KY-099,Hart County,56.3
KY-101,Henderson County,56.4
KY-103,Henry County,54.3
KY-105,Hickman County,58
KY-107,Hopkins County,57.2
KY-109,Jackson County,54.7
KY-111,Jefferson County,55.4
KY-113,Jessamine County,54.9
KY-115,Johnson County,55
KY-117,Kenton County,53.8
KY-119,Knott County,55
KY-121,Knox County,55.4
KY-123,Larue County,55.5
KY-125,Laurel County,55
KY-127,Lawrence County,54.7
KY-129,Lee County,55.6
KY-131,Leslie County,55.1
KY-133,Letcher County,54.3
KY-135,Lewis County,53.8
KY-137,Lincoln County,54.7
KY-139,Livingston County,57.3
KY-141,Logan County,57.4
KY-143,Lyon County,57.7
KY-145,McCracken County,57.5
KY-147,McCreary County,55.1
KY-149,McLean County,56.8
KY-151,Madison County,55.2
KY-153,Magoffin County,54.9
KY-155,Marion County,55.6
KY-157,Marshall County,58
KY-159,Martin County,55.3
KY-161,Mason County,53.6
KY-163,Meade County,55.1
KY-165,Menifee County,54.7
KY-167,Mercer County,55.1
KY-169,Metcalfe County,56.3
KY-171,Monroe County,57
KY-173,Montgomery County,54.6
KY-175,Morgan County,54.7
KY-177,Muhlenberg County,57
KY-179,Nelson County,55.6
KY-181,Nicholas County,54.2
KY-183,Ohio County,56.6
KY-185,Oldham County,54.6
KY-187,Owen County,54.3
KY-189,Owsley County,55.6
KY-191,Pendleton County,54.2
KY-193,Perry County,55.4
KY-195,Pike County,55.4
KY-197,Powell County,55.2
KY-199,Pulaski County,55.2
KY-201,Robertson County,53.9
KY-203,Rockcastle County,54.8
KY-205,Rowan County,54.4
KY-207,Russell County,55.7
KY-209,Scott County,54.2
KY-211,Shelby County,54.4
KY-213,Simpson County,57.4
KY-215,Spencer County,55.1
KY-217,Taylor County,55.7
KY-219,Todd County,57.4
KY-221,Trigg County,57.8
KY-223,Trimble County,54.4
KY-225,Union County,56.6
KY-227,Warren County,57.4
KY-229,Washington County,55.3
KY-231,Wayne County,55.4
KY-233,Webster County,56.8
KY-235,Whitley County,55.5
KY-237,Wolfe County,55.1
KY-239,Woodford County,54.7
LA-001,Acadia Parish,68.8
LA-003,Allen Parish,67.9
LA-005,Ascension Parish,68.5
LA-007,Assumption Parish,69
LA-009,Avoyelles Parish,67.2
LA-011,Beauregard Parish,67.6
LA-013,Bienville Parish,64.8
LA-015,Bossier Parish,65.2
LA-017,Caddo Parish,65.7
LA-019,Calcasieu Parish,68.5
LA-021,Caldwell Parish,65.8
LA-023,Cameron Parish,69.1
LA-025,Catahoula Parish,66.4
LA-027,Claiborne Parish,64.1
LA-029,Concordia Parish,66.6
LA-031,De Soto Parish,65.9
LA-033,East Baton Rouge Parish,67.8
LA-035,East Carroll Parish,65
LA-037,East Feliciana Parish,66.9
LA-039,Evangeline Parish,67.9
LA-041,Franklin Parish,66
LA-043,Grant Parish,66.5
LA-045,Iberia Parish,68.9
LA-047,Iberville Parish,68.4
LA-049,Jackson Parish,64.8
LA-051,Jefferson Parish,69.9
LA-053,Jefferson Davis Parish,68.8
LA-055,Lafayette Parish,68.6
LA-057,Lafourche Parish,70
LA-059,La Salle Parish,66.4
LA-061,Lincoln Parish,64.3
LA-063,Livingston Parish,67.9
LA-065,Madison Parish,65.5
LA-067,Morehouse Parish,64.7
LA-069,Natchitoches Parish,66.4
LA-071,Orleans Parish,69
LA-073,Ouachita Parish,65.3
LA-075,Plaquemines Parish,70
LA-077,Pointe Coupee Parish,67.8
LA-079,Rapides Parish,67
LA-081,Red River Parish,65.6
LA-083,Richland Parish,65.5
LA-085,Sabine Parish,66.3
LA-087,St. Bernard Parish,69.2
LA-089,St. Charles Parish,69.5
LA-091,St. Helena Parish,66.6
LA-093,St. James Parish,68.8
LA-095,St. John the Baptist Parish,68.9
LA-097,St. Landry Parish,68
LA-099,St. Martin Parish,68.6
LA-101,St. Mary Parish,69.3
LA-103,St. Tammany Parish,67.6
LA-105,Tangipahoa Parish,67.2
LA-107,Tensas Parish,66.1
LA-109,Terrebonne Parish,70.1
LA-111,Union Parish,64.4
LA-113,Vermilion Parish,69
LA-115,Vernon Parish,66.8
LA-117,Washington Parish,66.7
LA-119,Webster Parish,64.6
LA-121,West Baton Rouge Parish,68.1
LA-123,West Carroll Parish,64.9
LA-125,West Feliciana Parish,67.3
LA-127,Winn Parish,65.7
ME-001,Androscoggin County,43.8
ME-003,Aroostook County,38.7
ME-005,Cumberland County,44.6
ME-007,Franklin County,39.2
ME-009,Hancock County,43.9
ME-011,Kennebec County,43.6
ME-013,Knox County,44.3
ME-015,Lincoln County,44.4
ME-017,Oxford County,41.1
ME-019,Penobscot County,41.9
ME-021,Piscataquis County,39
ME-023,Sagadahoc County,44.6
ME-025,Somerset County,39.2
ME-027,Waldo County,43.6
ME-029,Washington County,43.4
ME-031,York County,45.6
MD-001,Allegany County,51.8
MD-003,Anne Arundel County,55.7
MD-005,Baltimore County,53.5
MD-009,Calvert County,55.9
MD-011,Caroline County,55.1
MD-013,Carroll County,52.2
MD-015,Cecil County,54
MD-017,Charles County,56.1
MD-019,Dorchester County,55.9
MD-021,Frederick County,52.8
MD-023,Garrett County,47.5
MD-025,Harford County,53.8
MD-027,Howard County,53.4
MD-029,Kent County,54.5
MD-031,Montgomery County,53.9
MD-033,Prince George's County,55.2
MD-035,Queen Anne's County,54.7
MD-037,St. Mary's County,56.3
MD-039,Somerset County,56.3
MD-041,Talbot County,55.8
MD-043,Washington County,52.6
MD-045,Wicomico County,55.8
MD-047,Worcester County,55.9
MD-510,Baltimore City,55.5
MD-511,"Washington, D.C.",55.4
MA-001,Barnstable County,49.8
MA-003,Berkshire County,44.4
MA-005,Bristol County,49.9
MA-007,Dukes County,50.2
MA-009,Essex County,48.3
MA-011,Franklin County,45.8
MA-013,Hampden County,47.1
MA-015,Hampshire County,46.5
MA-017,Middlesex County,48.2
MA-019,Nantucket County,49.5
MA-021,Norfolk County,49.1
MA-023,Plymouth County,49.8
MA-025,Suffolk County,49.4
MA-027,Worcester County,46.8
MI-001,Alcona County,44
MI-003,Alger County,41.6
MI-005,Allegan County,48.9
MI-007,Alpena County,44
MI-009,Antrim County,44.7
MI-011,Arenac County,46.1
MI-013,Baraga County,40.1
MI-015,Barry County,47.9
MI-017,Bay County,47.2
MI-019,Benzie County,45.4
MI-021,Berrien County,49.3
MI-023,Branch County,48.1
MI-025,Calhoun County,47.8
MI-027,Cass County,48.8
MI-029,Charlevoix County,44.6
MI-031,Cheboygan County,43.7
MI-033,Chippewa County,41.4
MI-035,Clare County,45.1
MI-037,Clinton County,47.5
MI-039,Crawford County,43.6
MI-041,Delta County,42.6
MI-043,Dickinson County,40.9
MI-045,Eaton County,47.6
MI-047,Emmet County,43.6
MI-049,Genesee County,47.1
MI-051,Gladwin County,45.9
MI-053,Gogebic County,40.2
MI-055,Grand Traverse County,45.3
MI-057,Gratiot County,47.2
MI-059,Hillsdale County,47.6
MI-061,Houghton County,41.1
MI-063,Huron County,45.9
MI-065,Ingham County,47.4
MI-067,Ionia County,47.4
MI-069,Iosco County,45.1
MI-071,Iron County,39.5
MI-073,Isabella County,46.3
MI-075,Jackson County,47.6
MI-077,Kalamazoo County,48.5
MI-079,Kalkaska County,44.3
MI-081,Kent County,47.8
MI-083,Keweenaw County,40.6
MI-085,Lake County,45.6
MI-087,Lapeer County,47
MI-089,Leelanau County,45.3
MI-091,Lenawee County,48.6
MI-093,Livingston County,47.2
MI-095,Luce County,41.2
MI-097,Mackinac County,42.1
MI-099,Macomb County,48.7
MI-101,Manistee County,45.8
MI-103,Marquette County,40.5
MI-105,Mason County,46.2
MI-107,Mecosta County,45.6
MI-109,Menominee County,42.9
MI-111,Midland County,47
MI-113,Missaukee County,44.3
MI-115,Monroe County,49.7
MI-117,Montcalm County,46.7
MI-119,Montmorency County,43.6
MI-121,Muskegon County,47.9
MI-123,Newaygo County,46.4
MI-125,Oakland County,47.5
MI-127,Oceana County,46.6
MI-129,Ogemaw County,44.5
MI-131,Ontonagon County,41
MI-133,Osceola County,44.6
MI-135,Oscoda County,43.5
MI-137,Otsego County,43.1
MI-139,Ottawa County,48.8
MI-141,Presque Isle County,43.9
MI-143,Roscommon County,44.4
MI-145,Saginaw County,47.4
MI-147,St. Clair County,47.9
MI-149,St. Joseph County,49
MI-151,Sanilac County,46.5
MI-153,Schoolcraft County,42.3
MI-155,Shiawassee County,47.2
MI-157,Tuscola County,47.1
MI-159,Van Buren County,48.9
MI-161,Washtenaw County,47.8
MI-163,Wayne County,49.2
MI-165,Wexford County,44.6
MN-001,Aitkin County,40.9
MN-003,Anoka County,44.7
MN-005,Becker County,40.4
MN-007,Beltrami County,39.2
MN-009,Benton County,43
MN-011,Big Stone County,43.7
MN-013,Blue Earth County,45.4
MN-015,Brown County,45.2
MN-017,Carlton County,40.4
MN-019,Carver County,45.1
MN-021,Cass County,40.7
MN-023,Chippewa County,44.4
MN-025,Chisago County,44
MN-027,Clay County,41.6
MN-029,Clearwater County,39.6
MN-031,Cook County,37
MN-033,Cottonwood County,45
MN-035,Crow Wing County,41.5
MN-037,Dakota County,45.6
MN-039,Dodge County,44.4
MN-041,Douglas County,41.6
MN-043,Faribault County,45.7
MN-045,Fillmore County,44.8
MN-047,Freeborn County,45.2
MN-049,Goodhue County,44.9
MN-051,Grant County,42.5
MN-053,Hennepin County,45.2
MN-055,Houston County,46
MN-057,Hubbard County,40.1
MN-059,Isanti County,43.6
MN-061,Itasca County,39.6
MN-063,Jackson County,45.1
MN-065,Kanabec County,42.4
MN-067,Kandiyohi County,43.6
MN-069,Kittson County,39.3
MN-071,Koochiching County,38.7
MN-073,Lac qui Parle County,44.7
MN-075,Lake County,37.9
MN-077,Lake of the Woods County,38.4
MN-079,Le Sueur County,45.1
MN-081,Lincoln County,44.1
MN-083,Lyon County,45.2
MN-085,McLeod County,44.9
MN-087,Mahnomen County,40.2
MN-089,Marshall County,39.9
MN-091,Martin County,45.6
MN-093,Meeker County,43.9
MN-095,Mille Lacs County,42.5
MN-097,Morrison County,42.3
MN-099,Mower County,44.6
MN-101,Murray County,44.5
MN-103,Nicollet County,45.2
MN-105,Nobles County,45
MN-107,Norman County,41.4
MN-109,Olmsted County,44.7
MN-111,Otter Tail County,41.4
MN-113,Pennington County,40.1
MN-115,Pine County,41.8
MN-117,Pipestone County,44.3
MN-119,Polk County,40.8
MN-121,Pope County,42.7
MN-123,Ramsey County,45.5
MN-125,Red Lake County,40.5
MN-127,Redwood County,45.1
MN-129,Renville County,44.6
MN-131,Rice County,44.8
MN-133,Rock County,45.4
MN-135,Roseau County,38.8
MN-137,St. Louis County,38.6
MN-139,Scott County,45.4
MN-141,Sherburne County,43.8
MN-143,Sibley County,45
MN-145,Stearns County,43.1
MN-147,Steele County,44.8
MN-149,Stevens County,43
MN-151,Swift County,43.8
MN-153,Todd County,41.7
MN-155,Traverse County,43.1
MN-157,Wabasha County,45
MN-159,Wadena County,41.1
MN-161,Waseca County,45.4
MN-163,Washington County,45.4
MN-165,Watonwan County,45.4
MN-167,Wilkin County,42.6
MN-169,Winona County,45.4
MN-171,Wright County,44.4
MN-173,Yellow Medicine County,45
MS-001,Adams County,66.4
MS-003,Alcorn County,60.7
MS-005,Amite County,65.9
MS-007,Attala County,63.4
MS-009,Benton County,61.1
MS-011,Bolivar County,63.2
MS-013,Calhoun County,62.5
MS-015,Carroll County,63.5
MS-017,Chickasaw County,62.7
MS-019,Choctaw County,62.8
MS-021,Claiborne County,65.7
MS-023,Clarke County,64.7
MS-025,Clay County,63.2
MS-027,Coahoma County,62.9
MS-029,Copiah County,65.4
MS-031,Covington County,65.2
MS-033,DeSoto County,62.3
MS-035,Forrest County,66
MS-037,Franklin County,65.7
MS-039,George County,66.7
MS-041,Greene County,66.1
MS-043,Grenada County,63.1
MS-045,Hancock County,67.2
MS-047,Harrison County,67.1
MS-049,Hinds County,65
MS-051,Holmes County,64.2
MS-053,Humphreys County,64.8
MS-055,Issaquena County,65
MS-057,Itawamba County,62
MS-059,Jackson County,67.1
MS-061,Jasper County,64.6
MS-063,Jefferson County,65.8
MS-065,Jefferson Davis County,65.3
MS-067,Jones County,65.4
MS-069,Kemper County,63.7
MS-071,Lafayette County,62
MS-073,Lamar County,66
MS-075,Lauderdale County,64.1
MS-077,Lawrence County,65.7
MS-079,Leake County,63.8
MS-081,Lee County,62.3
MS-083,Leflore County,64.1
MS-085,Lincoln County,65.4
MS-087,Lowndes County,63.5
MS-089,Madison County,64.6
MS-091,Marion County,66.2
MS-093,Marshall County,61.7
MS-095,Monroe County,62.9
MS-097,Montgomery County,63
MS-099,Neshoba County,63.6
MS-101,Newton County,64.1
MS-103,Noxubee County,63.7
MS-105,Oktibbeha County,63.2
MS-107,Panola County,62.6
MS-109,Pearl River County,66.7
MS-111,Perry County,66
MS-113,Pike County,65.9
MS-115,Pontotoc County,62.2
MS-117,Prentiss County,61.3
MS-119,Quitman County,63
MS-121,Rankin County,64.6
MS-123,Scott County,64
MS-125,Sharkey County,64.9
MS-127,Simpson County,64.8
MS-129,Smith County,64.6
MS-131,Stone County,66.4
MS-133,Sunflower County,63.9
MS-135,Tallahatchie County,63.3
MS-137,Tate County,62.3
MS-139,Tippah County,60.8
MS-141,Tishomingo County,61
MS-143,Tunica County,62.7
MS-145,Union County,61.7
MS-147,Walthall County,66.1
MS-149,Warren County,65.3
MS-151,Washington County,64.3
MS-153,Wayne County,65.1
MS-155,Webster County,62.7
MS-157,Wilkinson County,66.6
MS-159,Winston County,63.2
MS-161,Yalobusha County,62.5
MS-163,Yazoo County,64.9
MO-001,Adair County,51.9
MO-003,Andrew County,53.4
MO-005,Atchison County,52.7
MO-007,Audrain County,53.4
MO-009,Barry County,56.9
MO-011,Barton County,57.4
MO-013,Bates County,56.2
MO-015,Benton County,55.5
MO-017,Bollinger County,56.4
MO-019,Boone County,54.5
MO-021,Buchanan County,54.2
MO-023,Butler County,58.1
MO-025,Caldwell County,53.4
MO-027,Callaway County,54.5
MO-029,Camden County,56.2
MO-031,Cape Girardeau County,56.8
MO-033,Carroll County,54
MO-035,Carter County,56.9
MO-037,Cass County,55.4
MO-039,Cedar County,56.8
MO-041,Chariton County,53.7
MO-043,Christian County,55.8
MO-045,Clark County,52.4
MO-047,Clay County,54.6
MO-049,Clinton County,53.6
MO-051,Cole County,55.8
MO-053,Cooper County,55
MO-055,Crawford County,54.8
MO-057,Dade County,56.9
MO-059,Dallas County,56
MO-061,Daviess County,53
MO-063,DeKalb County,53.1
MO-065,Dent County,55.2
MO-067,Douglas County,55.9
MO-069,Dunklin County,59.6
MO-071,Franklin County,55.1
MO-073,Gasconade County,54.7
MO-075,Gentry County,52.7
MO-077,Greene County,55.7
MO-079,Grundy County,52.7
MO-081,Harrison County,52.1
MO-083,Henry County,55.8
MO-085,Hickory County,56.1
MO-087,Holt County,53.4
MO-089,Howard County,54.4
MO-091,Howell County,56.2
MO-093,Iron County,54.7
MO-095,Jackson County,55.1
MO-097,Jasper County,57.6
MO-099,Jefferson County,55.5
MO-101,Johnson County,55.1
MO-103,Knox County,52.3
MO-105,Laclede County,56
MO-107,Lafayette County,54.6
MO-109,Lawrence County,56.5
MO-111,Lewis County,52.9
MO-113,Lincoln County,54.3
MO-115,Linn County,52.9
MO-117,Livingston County,53.4
MO-119,McDonald County,57.7
MO-121,Macon County,52.6
MO-123,Madison County,55.3
MO-125,Maries County,55.6
MO-127,Marion County,53.3
MO-129,Mercer County,51.9
MO-131,Miller County,56.2
MO-133,Mississippi County,58.2
MO-135,Moniteau County,55.3
MO-137,Monroe County,53.3
MO-139,Montgomery County,54.1
MO-141,Morgan County,55.2
MO-143,New Madrid County,58.7
MO-145,Newton County,57.4
MO-147,Nodaway County,52.3
MO-149,Oregon County,57
MO-151,Osage County,55.4
MO-153,Ozark County,56.7
MO-155,Pemiscot County,59.6
MO-157,Perry County,56
MO-159,Pettis County,54.8
MO-161,Phelps County,55.6
MO-163,Pike County,53.7
MO-165,Platte County,54.8
MO-167,Polk County,56.2
MO-169,Pulaski County,56.1
MO-171,Putnam County,51.7
MO-173,Ralls County,53.5
MO-175,Randolph County,53.4
MO-177,Ray County,54
MO-179,Reynolds County,55.6
MO-181,Ripley County,57.7
MO-183,St. Charles County,55.3
MO-185,St. Clair County,56.4
MO-186,Ste. Genevieve County,55.5
MO-187,St. Francois County,54.5
MO-189,St. Louis County,55.6
MO-195,Saline County,54.3
MO-197,Schuyler County,51.6
MO-199,Scotland County,51.9
MO-201,Scott County,57.7
MO-203,Shannon County,56.1
MO-205,Shelby County,52.8
MO-207,Stoddard County,58
MO-209,Stone County,56.9
MO-211,Sullivan County,52.1
MO-213,Taney County,57.1
MO-215,Texas County,55.6
MO-217,Vernon County,57
MO-219,Warren County,54.6
MO-221,Washington County,54.5
MO-223,Wayne County,56.7
MO-225,Webster County,55.1
MO-227,Worth County,51.8
MO-229,Wright County,55.5
MO-510,St. Louis City,55.8
MT-001,Beaverhead County,38.3
MT-003,Big Horn County,45
MT-005,Blaine County,42.4
MT-007,Broadwater County,43
MT-009,Carbon County,43.2
MT-011,Carter County,44.3
MT-013,Cascade County,43.4
MT-015,Chouteau County,43.9
MT-017,Custer County,45.1
MT-019,Daniels County,39.1
MT-021,Dawson County,43
MT-023,Deer Lodge County,38.5
MT-025,Fallon County,43.4
MT-027,Fergus County,44.1
MT-029,Flathead County,39.8
MT-031,Gallatin County,40.1
MT-033,Garfield County,44.1
MT-035,Glacier County,39.3
MT-037,Golden Valley County,44.5
MT-039,Granite County,39.4
MT-041,Hill County,41.6
MT-043,Jefferson County,41.3
MT-045,Judith Basin County,42.2
MT-047,Lake County,43.2
MT-049,Lewis and Clark County,41.1
MT-051,Liberty County,41.8
MT-053,Lincoln County,40.9
MT-055,McCone County,42.8
MT-057,Madison County,40
MT-059,Meagher County,40.1
MT-061,Mineral County,41.6
MT-063,Missoula County,41.3
MT-065,Musselshell County,45.8
MT-067,Park County,39.4
MT-069,Petroleum County,46
MT-071,Phillips County,43.2
MT-073,Pondera County,41.6
MT-075,Powder River County,45.6
MT-077,Powell County,39.7
MT-079,Prairie County,44
MT-081,Ravalli County,40.4
MT-083,Richland County,42.6
MT-085,Roosevelt County,41.4
MT-087,Rosebud County,45.1
MT-089,Sanders County,42.3
MT-091,Sheridan County,39.9
MT-093,Silver Bow County,40
MT-095,Stillwater County,44.1
MT-097,Sweet Grass County,43.2
MT-099,Teton County,41.7
MT-101,Toole County,41.8
MT-103,Treasure County,45.6
MT-105,Valley County,41.4
MT-107,Wheatland County,43
MT-109,Wibaux County,43.2
MT-111,Yellowstone County,46.5
NE-001,Adams County,51.1
NE-003,Antelope County,48.8
NE-005,Arthur County,49.3
NE-007,Banner County,48.6
NE-009,Blaine County,49.4
NE-011,Boone County,49.7
NE-013,Box Butte County,47.8
NE-015,Boyd County,49
NE-017,Brown County,48.8
NE-019,Buffalo County,50.4
NE-021,Burt County,50
NE-023,Butler County,51.2
NE-025,Cass County,52.2
NE-027,Cedar County,48.3
NE-029,Chase County,51.6
NE-031,Cherry County,48.2
NE-033,Cheyenne County,50
NE-035,Clay County,51.5
NE-037,Colfax County,50.4
NE-039,Cuming County,49.5
NE-041,Custer County,49.6
NE-043,Dakota County,48.9
NE-045,Dawes County,48.1
NE-047,Dawson County,50.5
NE-049,Deuel County,50.9
NE-051,Dixon County,48.4
NE-053,Dodge County,50.5
NE-055,Douglas County,51.4
NE-057,Dundy County,52.5
NE-059,Fillmore County,52.2
NE-061,Franklin County,52.2
NE-063,Frontier County,51.4
NE-065,Furnas County,52.7
NE-067,Gage County,53.1
NE-069,Garden County,49.2
NE-071,Garfield County,48.6
NE-073,Gosper County,51.3
NE-075,Grant County,48.1
NE-077,Greeley County,49.4
NE-079,Hall County,50.7
NE-081,Hamilton County,51.2
NE-083,Harlan County,52.5
NE-085,Hayes County,51.7
NE-087,Hitchcock County,52.7
NE-089,Holt County,48.6
NE-091,Hooker County,48.8
NE-093,Howard County,50.4
NE-095,Jefferson County,53.5
NE-097,Johnson County,52.7
NE-099,Kearney County,50.9
NE-101,Keith County,51
NE-103,Keya Paha County,48.5
NE-105,Kimball County,48.1
NE-107,Knox County,48.9
NE-109,Lancaster County,52.4
NE-111,Lincoln County,50.5
NE-113,Logan County,49.7
NE-115,Loup County,48.8
NE-117,McPherson County,49.4
NE-119,Madison County,49.4
NE-121,Merrick County,51
NE-123,Morrill County,49.4
NE-125,Nance County,50.7
NE-127,Nemaha County,52.9
NE-129,Nuckolls County,52.7
NE-131,Otoe County,52.5
NE-133,Pawnee County,53.1
NE-135,Perkins County,51
NE-137,Phelps County,51
NE-139,Pierce County,48.7
NE-141,Platte County,50.5
NE-143,Polk County,51.3
NE-145,Red Willow County,52.5
NE-147,Richardson County,53.3
NE-149,Rock County,48.4
NE-151,Saline County,52.7
NE-153,Sarpy County,51.8
NE-155,Saunders County,51.5
NE-157,Scotts Bluff County,49.3
NE-159,Seward County,52.1
NE-161,Sheridan County,47.5
NE-163,Sherman County,50
NE-165,Sioux County,46.7
NE-167,Stanton County,49.5
NE-169,Thayer County,53
NE-171,Thomas County,49.5
NE-173,Thurston County,49.2
NE-175,Valley County,49.3
NE-177,Washington County,50.8
NE-179,Wayne County,48.9
NE-181,Webster County,52.6
NE-183,Wheeler County,48.7
NE-185,York County,51.7
NV-001,Churchill County,52.3
NV-003,Clark County,65.6
NV-005,Douglas County,49
NV-007,Elko County,46.2
NV-009,Esmeralda County,53.7
NV-011,Eureka County,47.3
NV-013,Humboldt County,49.5
NV-015,Lander County,49.2
NV-017,Lincoln County,55.9
NV-019,Lyon County,51.6
NV-021,Mineral County,51.2
NV-023,Nye County,52.8
NV-027,Pershing County,51.4
NV-029,Storey County,50.8
NV-031,Washoe County,49.4
NV-033,White Pine County,47.3
NV-510,Carson City,50
NH-001,Belknap County,44.4
NH-003,Carroll County,43
NH-005,Cheshire County,44.6
NH-007,Coos County,39.2
NH-009,Grafton County,41.3
NH-011,Hillsborough County,45.7
NH-013,Merrimack County,44.7
NH-015,Rockingham County,47
NH-017,Strafford County,45.9
NH-019,Sullivan County,43
NJ-001,Atlantic County,53.5
NJ-003,Bergen County,51.6
NJ-005,Burlington County,53.6
NJ-007,Camden County,53.8
NJ-009,Cape May County,54.1
NJ-011,Cumberland County,53.8
NJ-013,Essex County,51.9
NJ-015,Gloucester County,54
NJ-017,Hudson County,53.3
NJ-019,Hunterdon County,50.7
NJ-021,Mercer County,52.8
NJ-023,Middlesex County,52.8
NJ-025,Monmouth County,53
NJ-027,Morris County,49.6
NJ-029,Ocean County,53
NJ-031,Passaic County,49.8
NJ-033,Salem County,54
NJ-035,Somerset County,51.7
NJ-037,Sussex County,48.2
NJ-039,Union County,52.5
NJ-041,Warren County,49
NM-001,Bernalillo County,54.6
NM-003,Catron County,49.9
NM-005,Chaves County,60.5
NM-006,Cibola County,50.4
NM-007,Colfax County,48.8
NM-009,Curry County,58
NM-011,De Baca County,58.6
NM-013,Dona Ana County,62.5
NM-015,Eddy County,63.2
NM-017,Grant County,57
NM-019,Guadalupe County,56.3
NM-021,Harding County,55.7
NM-023,Hidalgo County,61.1
NM-025,Lea County,62
NM-027,Lincoln County,55.7
NM-028,Los Alamos County,48.3
NM-029,Luna County,61.8
NM-031,McKinley County,50.6
NM-033,Mora County,49.3
NM-035,Otero County,59.2
NM-037,Quay County,58.8
NM-039,Rio Arriba County,46.9
NM-041,Roosevelt County,59.2
NM-043,Sandoval County,51.1
NM-045,San Juan County,52.7
NM-047,San Miguel County,54.3
NM-049,Santa Fe County,50.7
NM-051,Sierra County,58.8
NM-053,Socorro County,55.5
NM-055,Taos County,44.8
NM-057,Torrance County,52.1
NM-059,Union County,53.6
NM-061,Valencia County,56.6
NY-001,Albany County,46.2
NY-003,Allegany County,45
NY-005,Bronx County,53.2
NY-007,Broome County,45.8
NY-009,Cattaraugus County,44.8
NY-011,Cayuga County,46.4
NY-013,Chautauqua County,46.4
NY-015,Chemung County,46
NY-017,Chenango County,44.6
NY-019,Clinton County,42.3
NY-021,Columbia County,47.5
NY-023,Cortland County,44.6
NY-025,Delaware County,44
NY-027,Dutchess County,48.2
NY-029,Erie County,46.7
NY-031,Essex County,41
NY-033,Franklin County,41.1
NY-035,Fulton County,43.7
NY-037,Genesee County,46.8
NY-039,Greene County,45.4
NY-041,Hamilton County,40.4
NY-043,Herkimer County,42.1
NY-045,Jefferson County,43.9
NY-047,Kings County,53.5
NY-049,Lewis County,41.7
NY-051,Livingston County,46.7
NY-053,Madison County,44.5
NY-055,Monroe County,47.5
NY-057,Montgomery County,45.8
NY-059,Nassau County,52.3
NY-061,New York County,53.4
NY-063,Niagara County,47.5
NY-065,Oneida County,44.6
NY-067,Onondaga County,45.8
NY-069,Ontario County,46.8
NY-071,Orange County,48.4
NY-073,Orleans County,47.1
NY-075,Oswego County,45.3
NY-077,Otsego County,43.8
NY-079,Putnam County,48.7
NY-081,Queens County,53.1
NY-083,Rensselaer County,45.8
NY-085,Richmond County,53.4
NY-087,Rockland County,50.3
NY-089,St. Lawrence County,42.8
NY-091,Saratoga County,44.9
NY-093,Schenectady County,45.8
NY-095,Schoharie County,44.5
NY-097,Schuyler County,45.7
NY-099,Seneca County,47.3
NY-101,Steuben County,45.3
NY-103,Suffolk County,51
NY-105,Sullivan County,45.6
NY-107,Tioga County,46.1
NY-109,Tompkins County,46
NY-111,Ulster County,46.5
NY-113,Warren County,42.6
NY-115,Washington County,44.8
NY-117,Wayne County,47.1
NY-119,Westchester County,50.5
NY-121,Wyoming County,45.2
NY-123,Yates County,46.4
NC-001,Alamance County,58.2
NC-003,Alexander County,57.1
NC-005,Alleghany County,51.2
NC-007,Anson County,60.8
NC-009,Ashe County,50
NC-011,Avery County,49.3
NC-013,Beaufort County,60.8
NC-015,Bertie County,59.1
NC-017,Bladen County,61.1
NC-019,Brunswick County,62
NC-021,Buncombe County,53.2
